names,scores,logfoldchanges,pvals,pvals_adj
PCED1A,-0.9693309,-0.46023726,0.33238012477805945,1.0
CCDC22,-0.97116077,-0.049616016,0.33146821748920285,1.0
SDHAF1,-0.9713289,0.13859123,0.3313845018295022,1.0
SMIM13,-0.97192574,-0.23231982,0.3310875036795965,1.0
SAP30,-0.9721763,-0.029562,0.33096284861119796,1.0
ELP4,-0.9723148,-0.72988987,0.33089397331031034,1.0
WDR12,-0.9739831,-0.14293316,0.3300649187769471,1.0
C12orf29,-0.97419083,-0.8024464,0.3299617907997425,1.0
ZSCAN9,-0.9742238,-0.84730834,0.32994542319849673,1.0
PLAA,-0.9742502,-0.093116686,0.3299323294960337,1.0
ZWILCH,-0.9744612,-0.8927534,0.329827591989458,1.0
ARHGAP12,-0.97462934,-0.27609217,0.32974414470643953,1.0
LATS1,-0.9747481,-0.09127397,0.3296852489752262,1.0
CTTNBP2NL,-0.97498876,-0.09588157,0.32956584243748255,1.0
OTUD4,-0.9751107,0.100355856,0.329505332014842,1.0
WDFY2,-0.9753877,0.093700305,0.3293679837207234,1.0
CAV1,-0.97544706,-0.97308874,0.3293385567699839,1.0
ELP3,-0.97556573,-0.26946476,0.3292797079790317,1.0
GTF2H1,-0.9756218,-0.029687023,0.32925192064081554,1.0
KIAA0226,-0.9757471,0.12921962,0.32918981326154606,1.0
ZC3H7B,-0.9758064,-0.24519889,0.3291603966265654,1.0
HBS1L,-0.9758262,-0.37756154,0.32915059146013526,1.0
ST3GAL1,-0.9758658,0.29782498,0.3291309816951219,1.0
UTRN,-0.97605044,0.39015254,0.3290394794693561,1.0
C3,-0.97640324,-1.2230167,0.32886469071099766,1.0
PCGF1,-0.9764296,-0.33525744,0.3288516248112753,1.0
TMEM204,-0.9764362,-1.2626871,0.3288483583889247,1.0
ATAD1,-0.97667027,0.06803923,0.32873241402160847,1.0
TOPORS-AS1,-0.9772209,0.33364964,0.3284598042992668,1.0
FBXO34,-0.97728026,0.19958626,0.32843042997023286,1.0
SART1,-0.97728354,0.13318501,0.3284287981130172,1.0
TCTEX1D1,-0.97760993,-1.6378602,0.3282672702768811,1.0
TRIP4,-0.9779825,-0.0715954,0.32808296310418394,1.0
